iter	Passed	Remaining
805	22645	5450
806	22672	5422
807	22700	5394
808	22727	5365
809	22755	5337
810	22783	5309
811	22810	5281
812	22837	5252
813	22865	5224
814	22892	5196
815	22919	5168
816	22947	5139
817	22974	5111
818	23002	5083
819	23029	5055
820	23056	5026
821	23084	4998
822	23112	4970
823	23140	4942
824	23167	4914
825	23194	4886
826	23222	4857
827	23250	4829
828	23279	4802
829	23311	4774
830	23342	4747
831	23372	4719
832	23402	4691
833	23433	4664
834	23462	4636
835	23494	4609
836	23527	4581
837	23559	4554
838	23588	4526
839	23615	4498
840	23643	4470
841	23671	4441
842	23698	4413
843	23726	4385
844	23754	4357
845	23782	4329
846	23810	4301
847	23836	4272
848	23863	4244
849	23891	4216
850	23918	4187
851	23949	4160
852	23976	4131
853	24003	4103
854	24031	4075
855	24059	4047
856	24086	4019
857	24114	3990
858	24141	3962
859	24168	3934
860	24196	3906
861	24224	3878
862	24251	3849
863	24278	3821
864	24306	3793
865	24333	3765
866	24361	3737
867	24389	3708
868	24417	3680
869	24444	3652
870	24471	3624
871	24500	3596
872	24528	3568
873	24555	3540
874	24586	3512
875	24617	3484
876	24648	3456
877	24677	3429
878	24709	3401
879	24740	3373
880	24769	3345
881	24799	3317
882	24849	3292
883	24880	3264
884	24907	3236
885	24935	3208
886	24962	3180
887	24990	3151
888	25017	3123
889	25046	3095
890	25073	3067
891	25101	3039
892	25129	3011
893	25157	2982
894	25184	2954
895	25212	2926
896	25240	2898
897	25267	2870
898	25300	2842
899	25327	2814
900	25355	2786
901	25382	2757
902	25410	2729
903	25438	2701
904	25466	2673
905	25495	2645
906	25522	2617
907	25551	2588
908	25578	2560
909	25605	2532
910	25632	2504
911	25660	2476
912	25688	2447
913	25716	2419
914	25745	2391
915	25773	2363
916	25800	2335
917	25807	2305
918	25835	2277
919	25861	2248
920	25891	2220
921	25921	2192
922	25950	2164
923	25982	2137
924	26013	2109
925	26044	2081
926	26074	2053
927	26104	2025
928	26135	1997
929	26164	1969
930	26195	1941
931	26223	1913
932	26251	1885
933	26278	1856
934	26305	1828
935	26333	1800
936	26362	1772
937	26389	1744
938	26417	1716
939	26445	1687
940	26473	1659
941	26503	1631
942	26530	1603
943	26558	1575
944	26585	1547
945	26612	1519
946	26639	1490
947	26666	1462
948	26694	1434
949	26722	1406
950	26749	1378
951	26776	1350
952	26804	1321
953	26831	1293
954	26858	1265
955	26886	1237
956	26913	1209
957	26943	1181
958	26970	1153
959	26997	1124
960	27024	1096
961	27052	1068
962	27079	1040
963	27107	1012
964	27135	984
965	27162	956
966	27189	927
967	27220	899
968	27249	871
969	27279	843
970	27287	814
971	27316	786
972	27346	758
973	27378	730
974	27401	702
975	27430	674
976	27460	646
977	27492	618
978	27520	590
979	27548	562
980	27576	534
981	27603	505
982	27630	477
983	27657	449
984	27685	421
985	27713	393
986	27740	365
987	27768	337
988	27795	309
989	27822	281
990	27850	252
991	27877	224
992	27904	196
993	27932	168
994	27959	140
995	27987	112
996	28015	84
997	28043	56
998	28070	28
999	28102	0
